Depot;S349343502
P1;S6832555105;4
P2;S2143772832;6
P3;S459664129;3
P4;S276010807;7
P5;S7475303518;9
P6;S1782701369;9
P7;S8433338885;11
P8;S252944063;14
P9;S3229691627;15
P10;S275660436;14
P11;S259806017;8
P12;S24578901;6
P13;S9701568655;14
P14;S826047610;9
P15;S5699573231;13
P16;S1683190212;12
P17;S9592176814;14
P18;S247916492;11
P19;S8668821189;15
P20;S2404211495;11
P21;S1669434168;10
P22;S1777042747;4
P23;S21971884;12
P24;S3266217829;4
P25;S297044702;11
P26;S3680620752;9
P27;S247916505;15
P28;S9005340709;4
P29;S1690138160;10
P30;S24335526;4
DISTANCES
S349343502;S6832555105;7218.492910071693
S349343502;S2143772832;7062.368784693971
S349343502;S459664129;1819.5948367000353
S349343502;S276010807;813.9551651616345
S349343502;S7475303518;5260.18391482311
S349343502;S1782701369;2662.227594979479
S349343502;S8433338885;2761.5966677812153
S349343502;S252944063;1228.8566108417172
S349343502;S3229691627;4461.662297876526
S349343502;S275660436;1191.6665580184872
S349343502;S259806017;6300.77215495128
S349343502;S24578901;3658.494974995127
S349343502;S9701568655;2795.9365496352953
S349343502;S826047610;4024.3036321114278
S349343502;S5699573231;6483.852864888389
S349343502;S1683190212;6406.31653887122
S349343502;S9592176814;4931.795758574109
S349343502;S247916492;796.66132331405
S349343502;S8668821189;8438.850312663528
S349343502;S2404211495;6977.2384520987835
S349343502;S1669434168;2759.04894251316
S349343502;S1777042747;3505.568030772807
S349343502;S21971884;5859.183169907392
S349343502;S3266217829;4919.449736438029
S349343502;S297044702;464.245901453758
S349343502;S3680620752;6338.010185602604
S349343502;S247916505;351.96665525108693
S349343502;S9005340709;2973.3955402613788
S349343502;S1690138160;3587.889966891269
S349343502;S24335526;2288.8092501718024
S6832555105;S2143772832;14409.007919790292
S6832555105;S459664129;8172.844997827627
S6832555105;S276010807;8242.15621693037
S6832555105;S7475303518;12688.38496659185
S6832555105;S1782701369;9245.639685640515
S6832555105;S8433338885;10189.797719549955
S6832555105;S252944063;8657.057662610452
S6832555105;S3229691627;3871.831589987853
S6832555105;S275660436;6400.975088855726
S6832555105;S259806017;3061.2353858093184
S6832555105;S24578901;9715.345937640463
S6832555105;S9701568655;9955.496527600604
S6832555105;S826047610;4946.57574081193
S6832555105;S5699573231;7130.276485789288
S6832555105;S1683190212;4161.942303039799
S6832555105;S9592176814;2756.2434644333316
S6832555105;S247916492;7949.601424981927
S6832555105;S8668821189;14753.496040692335
S6832555105;S2404211495;514.0113221393428
S6832555105;S1669434168;10187.2499942819
S6832555105;S1777042747;10730.837759986134
S6832555105;S21971884;2834.2638989570796
S6832555105;S3266217829;11194.47500084547
S6832555105;S297044702;7137.465381492945
S6832555105;S3680620752;5969.646325613875
S6832555105;S247916505;7659.0839605613055
S6832555105;S9005340709;5688.085718950722
S6832555105;S1690138160;9706.191205148993
S6832555105;S24335526;7503.910501625657
S2143772832;S459664129;6236.162921962667
S2143772832;S276010807;6218.315163937502
S2143772832;S7475303518;2203.434973173788
S2143772832;S1782701369;9087.187608742193
S2143772832;S8433338885;4995.824829983926
S2143772832;S252944063;6684.643517000035
S2143772832;S3229691627;11358.971352204517
S2143772832;S275660436;8092.857935344405
S2143772832;S259806017;13194.721804782226
S2143772832;S24578901;10223.85117690088
S2143772832;S9701568655;5890.716590465462
S2143772832;S826047610;10921.612686439421
S2143772832;S5699573231;9058.333551437787
S2143772832;S1683190212;13303.625593199211
S2143772832;S9592176814;11829.104812902104
S2143772832;S247916492;7139.344512464544
S2143772832;S8668821189;12755.570958838984
S2143772832;S2404211495;13874.547506426778
S2143772832;S1669434168;6717.592294111902
S2143772832;S1777042747;7953.963623135943
S2143772832;S21971884;12756.492224235382
S2143772832;S3266217829;10085.11753610941
S2143772832;S297044702;7365.437278779676
S2143772832;S3680620752;10637.225797345985
S2143772832;S247916505;6907.799853901037
S2143772832;S9005340709;9870.704594589373
S2143772832;S1690138160;10153.246168797026
S2143772832;S24335526;8854.165452077556
S459664129;S276010807;2639.3386933090105
S459664129;S7475303518;4756.937813960274
S459664129;S1782701369;4355.117610225301
S459664129;S8433338885;4586.980195928592
S459664129;S252944063;3054.240138989094
S459664129;S3229691627;5122.808430241853
S459664129;S275660436;1933.393819734912
S459664129;S259806017;6961.918287316606
S459664129;S24578901;5351.384990240947
S459664129;S9701568655;4352.679003979242
S459664129;S826047610;4685.449764476754
S459664129;S5699573231;7144.998997253716
S459664129;S1683190212;7067.462671236545
S459664129;S9592176814;5592.941890939435
S459664129;S247916492;2500.9611050029084
S459664129;S8668821189;10143.150094352384
S459664129;S2404211495;7638.38458446411
S459664129;S1669434168;4584.432470660537
S459664129;S1777042747;5209.867812461666
S459664129;S21971884;6520.329302272718
S459664129;S3266217829;6623.749518126885
S459664129;S297044702;2030.9117418017654
S459664129;S3680620752;6999.1563179679315
S459664129;S247916505;2056.2664369399454
S459664129;S9005340709;3634.5416726267053
S459664129;S1690138160;5280.779982137091
S459664129;S24335526;3928.629774334364
S276010807;S7475303518;4446.228749661477
S276010807;S1782701369;3122.4866156736025
S276010807;S8433338885;1947.6415026195812
S276010807;S252944063;579.5463357884048
S276010807;S3229691627;5144.538511264942
S276010807;S275660436;1874.542771406903
S276010807;S259806017;6983.6483683396955
S276010807;S24578901;4118.753995689251
S276010807;S9701568655;2270.5260259626584
S276010807;S826047610;4707.179845499843
S276010807;S5699573231;7166.729078276806
S276010807;S1683190212;7089.192752259635
S276010807;S9592176814;5614.671971962524
S276010807;S247916492;1034.247331252914
S276010807;S8668821189;7913.199948487541
S276010807;S2404211495;7660.114665487199
S276010807;S1669434168;2109.7386674598474
S276010807;S1777042747;2979.917666596819
S276010807;S21971884;6542.0593832958075
S276010807;S3266217829;4393.79937226204
S276010807;S297044702;1147.1221148421741
S276010807;S3680620752;7020.88639899102
S276010807;S247916505;689.4846899635362
S276010807;S9005340709;3656.2717536497944
S276010807;S1690138160;4048.148987585393
S276010807;S24335526;2749.068270865926
S7475303518;S1782701369;7285.00273887133
S7475303518;S8433338885;3193.639960113065
S7475303518;S252944063;4882.458647129173
S7475303518;S3229691627;9560.66880533158
S7475303518;S275660436;6290.673065473543
S7475303518;S259806017;11392.536934911359
S7475303518;S24578901;8421.666307030018
S7475303518;S9701568655;4088.5317205946008
S7475303518;S826047610;9123.310139566483
S7475303518;S5699573231;7256.148681566923
S7475303518;S1683190212;11505.323046326273
S7475303518;S9592176814;10030.802266029166
S7475303518;S247916492;5337.159642593682
S7475303518;S8668821189;10953.386088968118
S7475303518;S2404211495;12076.24495955384
S7475303518;S1669434168;4915.407424241039
S7475303518;S1777042747;6151.778753265079
S7475303518;S21971884;10958.189677362445
S7475303518;S3266217829;8282.932666238547
S7475303518;S297044702;5563.252408908814
S7475303518;S3680620752;8835.040927475118
S7475303518;S247916505;5105.614984030175
S7475303518;S9005340709;8072.402047716434
S7475303518;S1690138160;8351.061298926163
S7475303518;S24335526;7051.980582206697
S1782701369;S8433338885;4862.773465154001
S1782701369;S252944063;2955.1383642624173
S1782701369;S3229691627;6195.3180664455
S1782701369;S275660436;3149.766753615035
S1782701369;S259806017;8034.427923520254
S1782701369;S24578901;2865.2685429285098
S1782701369;S9701568655;5137.17079662703
S1782701369;S826047610;5757.959400680402
S1782701369;S5699573231;8217.50863345736
S1782701369;S1683190212;8139.972307440193
S1782701369;S9592176814;6665.451527143083
S1782701369;S247916492;2261.3478309292877
S1782701369;S8668821189;6510.684344067788
S1782701369;S2404211495;8710.894220667758
S1782701369;S1669434168;3069.7019183796406
S1782701369;S1777042747;1823.8663632448388
S1782701369;S21971884;7592.838938476366
S1782701369;S3266217829;2949.4189578508435
S1782701369;S297044702;2568.699626028352
S1782701369;S3680620752;8071.665954171575
S1782701369;S247916505;2459.032727276177
S1782701369;S9005340709;4707.051308830352
S1782701369;S1690138160;1420.7943257579684
S1782701369;S24335526;2293.8350260463603
S8433338885;S252944063;2383.8714000872806
S8433338885;S3229691627;7062.081558289691
S8433338885;S275660436;3792.0858184316517
S8433338885;S259806017;8901.191415364447
S8433338885;S24578901;5923.079059988125
S8433338885;S9701568655;4188.069072987406
S8433338885;S826047610;6624.722892524593
S8433338885;S5699573231;9084.27212530155
S8433338885;S1683190212;9006.735799284383
S8433338885;S9592176814;7532.215018987274
S8433338885;S247916492;2838.57239555179
S8433338885;S8668821189;8454.798841926224
S8433338885;S2404211495;9577.65771251195
S8433338885;S1669434168;2416.8201771991457
S8433338885;S1777042747;3653.1915062231856
S8433338885;S21971884;8459.602430320556
S8433338885;S3266217829;5784.345419196652
S8433338885;S297044702;3064.665161866922
S8433338885;S3680620752;8938.429446015767
S8433338885;S247916505;2607.027736988284
S8433338885;S9005340709;5573.814800674543
S8433338885;S1690138160;5852.474051884268
S8433338885;S24335526;4553.393335164803
S252944063;S3229691627;5477.876671349182
S252944063;S275660436;2387.9165203194143
S252944063;S259806017;7316.986528423936
S252944063;S24578901;3539.2076599008465
S252944063;S9701568655;3406.117087871687
S252944063;S826047610;5040.518005584084
S252944063;S5699573231;7500.067238361046
S252944063;S1683190212;7422.530912343876
S252944063;S9592176814;5948.010132046765
S252944063;S247916492;640.6480946316435
S252944063;S8668821189;7333.653612699136
S252944063;S2404211495;7993.4528255714395
S252944063;S1669434168;1928.1202535803754
S252944063;S1777042747;2400.3713308084134
S252944063;S21971884;6875.397543380048
S252944063;S3266217829;3814.2530364736353
S252944063;S297044702;1660.4958637546852
S252944063;S3680620752;7354.22455907526
S252944063;S247916505;1096.4460052815757
S252944063;S9005340709;3989.6099137340348
S252944063;S1690138160;3468.6026517969885
S252944063;S24335526;2169.521935077522
S3229691627;S275660436;3414.950938520203
S3229691627;S259806017;2644.7735214952922
S3229691627;S24578901;6792.480054799062
S3229691627;S9701568655;6969.4723772650805
S3229691627;S826047610;2089.8897226338017
S3229691627;S5699573231;6237.390543205208
S3229691627;S1683190212;3116.8261102050874
S3229691627;S9592176814;1183.5773147751672
S3229691627;S247916492;4963.577274646405
S3229691627;S8668821189;11830.630157850934
S3229691627;S2404211495;3229.0200082998413
S3229691627;S1669434168;7201.225843946373
S3229691627;S1777042747;7744.81360965062
S3229691627;S21971884;2110.964726108449
S3229691627;S3266217829;8271.609118004071
S3229691627;S297044702;4151.441231157422
S3229691627;S3680620752;4829.305793576049
S3229691627;S247916505;4673.059810225783
S3229691627;S9005340709;2726.933218578197
S3229691627;S1690138160;6761.060409249317
S3229691627;S24335526;4558.779705725985
S275660436;S259806017;5193.662539728895
S275660436;S24578901;4186.448527946423
S275660436;S9701568655;3719.659510892077
S275660436;S826047610;2917.1940168890433
S275660436;S5699573231;5376.743249666005
S275660436;S1683190212;5299.206923648834
S275660436;S9592176814;3824.6861433517242
S275660436;S247916492;1737.6133958926437
S275660436;S8668821189;9205.099344313505
S275660436;S2404211495;5870.128836876398
S275660436;S1669434168;3852.8074314178943
S275660436;S1777042747;4478.2427732190245
S275660436;S21971884;4752.0735546850065
S275660436;S3266217829;5647.535289379243
S275660436;S297044702;760.591539224194
S275660436;S3680620752;5230.900570380219
S275660436;S247916505;1324.6413976973038
S275660436;S9005340709;1866.2859250389938
S275660436;S1690138160;4091.537139154215
S275660436;S24335526;2145.3154554373427
S259806017;S24578901;8697.119501400115
S259806017;S9701568655;8874.111823866135
S259806017;S826047610;2879.7680106861962
S259806017;S5699573231;4317.316650544301
S259806017;S1683190212;1100.7069172304812
S259806017;S9592176814;2860.856376934542
S259806017;S247916492;6868.216721247459
S259806017;S8668821189;13735.269604451987
S259806017;S2404211495;3283.5546788824613
S259806017;S1669434168;9105.865290547428
S259806017;S1777042747;9649.453056251668
S259806017;S21971884;3672.3652248109684
S259806017;S3266217829;10176.248564605125
S259806017;S297044702;6056.080677758477
S259806017;S3680620752;3156.686490368888
S259806017;S247916505;6577.699256826837
S259806017;S9005340709;4587.953772319823
S259806017;S1690138160;8665.69985585037
S259806017;S24335526;6463.419152327039
S24578901;S9701568655;6151.747038979478
S24578901;S826047610;6449.152737448294
S24578901;S5699573231;8908.701970225251
S24578901;S1683190212;8831.165644208084
S24578901;S9592176814;7160.693745398712
S24578901;S247916492;3275.924073281735
S24578901;S8668821189;5679.9052489260275
S24578901;S2404211495;9236.33443273277
S24578901;S1669434168;4983.752008323858
S24578901;S1777042747;3737.916453189056
S24578901;S21971884;8046.738087102155
S24578901;S3266217829;1969.561637641849
S24578901;S297044702;3448.8325756786935
S24578901;S3680620752;8762.859290939468
S24578901;S247916505;3473.6089696286253
S24578901;S9005340709;5398.2446455982445
S24578901;S1690138160;1813.3585991040707
S24578901;S24335526;2498.6523280460488
S9701568655;S826047610;6583.79905664744
S9701568655;S5699573231;9043.348289424397
S9701568655;S1683190212;8965.81196340723
S9701568655;S9592176814;7491.291183110121
S9701568655;S247916492;3122.832737413815
S9701568655;S8668821189;10152.693399553998
S9701568655;S2404211495;9536.733876634797
S9701568655;S1669434168;4349.232118526307
S9701568655;S1777042747;5219.4111176632805
S9701568655;S21971884;8418.678594443403
S9701568655;S3266217829;6633.292823328499
S9701568655;S297044702;3106.1275095114393
S9701568655;S3680620752;8897.505610138614
S9701568655;S247916505;2678.1380693508518
S9701568655;S9005340709;5532.890964797391
S9701568655;S1690138160;6130.614875421142
S9701568655;S24335526;4831.5341587016765
S826047610;S5699573231;5709.207887837293
S826047610;S1683190212;2710.084706426804
S826047610;S9592176814;2043.757309914246
S826047610;S247916492;4763.649952455303
S826047610;S8668821189;11516.916871373513
S826047610;S2404211495;4089.20000343892
S826047610;S1669434168;7001.2985217552705
S826047610;S1777042747;7544.886287459517
S826047610;S21971884;2971.1447212475277
S826047610;S3266217829;7957.895831526653
S826047610;S297044702;3951.51390896632
S826047610;S3680620752;4148.759984397736
S826047610;S247916505;4473.132488034681
S826047610;S9005340709;2062.4091138727395
S826047610;S1690138160;6418.407082207919
S826047610;S24335526;4216.1263786845875
S5699573231;S1683190212;4999.800859581138
S5699573231;S9592176814;6537.833515319728
S5699573231;S247916492;7239.748279446368
S5699573231;S8668821189;14205.4308293294
S5699573231;S2404211495;7172.940009906456
S5699573231;S1669434168;9477.396848746337
S5699573231;S1777042747;10020.984614450577
S5699573231;S21971884;7465.220926653011
S5699573231;S3266217829;10646.409789482534
S5699573231;S297044702;6427.612235957386
S5699573231;S3680620752;1578.892245908195
S5699573231;S247916505;6949.230815025746
S5699573231;S9005340709;3989.4891190233448
S5699573231;S1690138160;9057.545591070593
S5699573231;S24335526;6855.264887547261
S1683190212;S9592176814;3560.670364284446
S1683190212;S247916492;7129.576793018119
S1683190212;S8668821189;13882.843711936328
S1683190212;S2404211495;4384.261596112942
S1683190212;S1669434168;9367.225362318088
S1683190212;S1777042747;9910.813128022328
S1683190212;S21971884;4488.057775617727
S1683190212;S3266217829;10323.822672089464
S1683190212;S297044702;6317.440749529137
S1683190212;S3680620752;4006.7361687334283
S1683190212;S247916505;6839.059328597497
S1683190212;S9005340709;4428.335954435557
S1683190212;S1690138160;8784.333922770737
S1683190212;S24335526;6582.053219247407
S9592176814;S247916492;5385.267025331051
S9592176814;S8668821189;12120.379707567425
S9592176814;S2404211495;2251.752847391828
S9592176814;S1669434168;7622.915594631018
S9592176814;S1777042747;8166.503360335265
S9592176814;S21971884;927.3874113332815
S9592176814;S3266217829;8561.358667720562
S9592176814;S297044702;4573.130981842068
S9592176814;S3680620752;5141.32025635081
S9592176814;S247916505;5094.749560910428
S9592176814;S9005340709;3054.9693858258142
S9592176814;S1690138160;7073.074872024078
S9592176814;S24335526;4870.794168500746
S247916492;S8668821189;7987.114338182931
S247916492;S2404211495;7507.682374457116
S247916492;S1669434168;2566.6988695195223
S247916492;S1777042747;3053.8320562922077
S247916492;S21971884;6389.627092265724
S247916492;S3266217829;4467.7137619574305
S247916492;S297044702;1054.9749500623464
S247916492;S3680620752;6868.454107960936
S247916492;S247916505;713.1998124079128
S247916492;S9005340709;3503.839462619711
S247916492;S1690138160;3144.3082442846116
S247916492;S24335526;1845.2275275651448
S8668821189;S2404211495;13929.802125039176
S8668821189;S1669434168;6981.548355044244
S8668821189;S1777042747;5735.712799909443
S8668821189;S21971884;12740.205779408554
S8668821189;S3266217829;3856.125428183625
S8668821189;S297044702;8102.276481848505
S8668821189;S3680620752;13416.30319710928
S8668821189;S247916505;7617.923517736633
S8668821189;S9005340709;10051.688551768058
S8668821189;S1690138160;5202.47611877588
S8668821189;S24335526;7192.120020352458
S2404211495;S1669434168;9742.020605616586
S2404211495;S1777042747;10285.608371320823
S2404211495;S21971884;2809.878931611927
S2404211495;S3266217829;10680.46367870613
S2404211495;S297044702;6692.235992827634
S2404211495;S3680620752;5455.635003474532
S2404211495;S247916505;7213.854571895994
S2404211495;S9005340709;5174.07439681138
S2404211495;S1690138160;9192.179883009647
S2404211495;S24335526;6989.899179486315
S1669434168;S1777042747;2206.9288280142528
S1669434168;S21971884;8820.756386065144
S1669434168;S3266217829;4338.082740987721
S1669434168;S297044702;3522.0154686402448
S1669434168;S3680620752;9299.583401760357
S1669434168;S247916505;2970.127253449616
S1669434168;S9005340709;5934.968756419134
S1669434168;S1690138160;4493.776978257788
S1669434168;S24335526;4114.88077776262
S1777042747;S21971884;8922.36109192411
S1777042747;S3266217829;2690.602537801176
S1777042747;S297044702;3707.459412298749
S1777042747;S3680620752;9401.188107619322
S1777042747;S247916505;3143.4095538256393
S1777042747;S9005340709;6036.573462278098
S1777042747;S1690138160;2846.296775071244
S1777042747;S24335526;3796.889467637504
S21971884;S3266217829;9553.314443525218
S21971884;S297044702;5565.086757646722
S21971884;S3680620752;6133.276032155466
S21971884;S247916505;6086.705336715082
S21971884;S9005340709;4046.9251616304687
S21971884;S1690138160;8065.030647828733
S21971884;S24335526;5862.749944305401
S3266217829;S297044702;4654.443945660501
S3266217829;S3680620752;9968.470660921275
S3266217829;S247916505;4354.093491002338
S3266217829;S9005340709;6603.856015580053
S3266217829;S1690138160;1869.6316305036123
S3266217829;S24335526;3704.2636980278576
S297044702;S3680620752;5873.764284148846
S297044702;S247916505;564.0498584731097
S297044702;S9005340709;2509.1496388076202
S297044702;S1690138160;3358.150131726267
S297044702;S24335526;1975.7032979216567
S3680620752;S247916505;6494.003301863264
S3680620752;S9005340709;3418.485037209065
S3680620752;S1690138160;8602.31807790811
S3680620752;S24335526;6400.03737438478
S247916505;S9005340709;3073.19949728073
S247916505;S1690138160;3452.47680607029
S247916505;S24335526;2153.3960893508233
S9005340709;S1690138160;5500.875862187829
S9005340709;S24335526;3298.5951586644956
S1690138160;S24335526;2303.8171618145575
